id,pose_name,sanskrit_name,category,difficulty_level,benefits,contraindications,breathing_pattern,duration_or_reps,modifications,instructions
12,Seated Forward Fold With Legs Wide,Prasarita Padottanasana,forward_fold,beginner,"Seated Forward Fold With Legs Wide (Prasarita Padottanasana) stretches the hips, calves, and spine, improving flexibility and balance. It also calms the mind and relieves stress, promoting relaxation and reducing anxiety. Additionally, this pose can help alleviate lower back pain and sciatica.","Avoid this pose if you have a recent or severe back injury, or if you experience any sharp pain or discomfort in your knees, hips, or lower back. Pregnant women should also approach this pose with caution and modify it to avoid deep stretching.","Inhale: Lengthen your spine and extend your arms up. Exhale: Fold forward, reaching for your toes or shins, and lower your head towards the ground.","Hold the pose for 3-5 breaths, or 30 seconds to 1 minute, and repeat 2-3 times.","For a more accessible version, place your hands on blocks or the ground in front of you, or use a strap to deepen the stretch without straining your back. You can also bend your knees slightly to reduce pressure on your joints.","1. Sit on the ground with your legs wide apart, toes pointing up. 2. Inhale and lengthen your spine, extending your arms up towards the ceiling. 3. Exhale and fold forward, reaching for your toes or shins, and lower your head towards the ground, keeping your knees slightly bent if necessary. 4. Keep your arms extended or place your hands on the ground in front of you, and engage your core to maintain balance. 5. Hold the pose, breathing deeply, and then slowly come up to seated on an inhale."
13,Sphinx Pose,Salamba Bhujangasana,backbend,beginner,"The Sphinx Pose strengthens the back muscles, opens the chest and shoulders, and can help improve flexibility and posture. It also stimulates the thyroid gland and can be beneficial for relieving stress and anxiety. Additionally, this pose can help increase energy and vitality.","Avoid this pose if you have any neck or back injuries, or if you have a recent shoulder injury. Also, pregnant women should avoid this pose or modify it to avoid putting pressure on the abdomen.","Inhale and lengthen the spine, feeling the chest expand and the shoulders roll back. Exhale and gently press the palms into the ground, engaging the back muscles.","Hold the pose for 5-10 breaths, or 30-60 seconds.","To make the pose easier, you can place a block or strap under your chest for support, or bring your knees closer together to reduce the strain on the back. You can also place a folded blanket under your forearms for extra comfort.","1. Lie on your stomach with your forearms on the ground and your elbows directly under your shoulders. 2. Press your palms into the ground and slowly lift your chest and head off the ground, keeping your shoulders down and away from your ears. 3. Engage your back muscles and lengthen your spine, feeling the expansion in your chest and shoulders. 4. Gaze forward and slightly down, keeping the neck long and relaxed. 5. Hold the pose, breathing deeply and feeling the energy and opening in your upper body."
14,Child's Pose,Balasana,restorative,beginner,"Child's Pose (Balasana) provides physical benefits by stretching the back, hips, and legs, while also relieving tension in the neck and shoulders. Mentally, it calms the mind, reduces stress and anxiety, and promotes relaxation. Regular practice can also help improve sleep quality.","Avoid Child's Pose if you have any knee injuries or recent knee surgeries, as it may put pressure on the knee joint. Pregnant women should also modify the pose by keeping their knees slightly apart to avoid putting pressure on the abdomen.","Inhale deeply, feeling the chest expand and the body relax. Exhale slowly, allowing the body to release any tension or stress.","Hold Child's Pose for 5-10 deep breaths, or as long as you feel comfortable and relaxed.","For a more accessible version, you can place a block or pillow under your forehead for support, or use a folded blanket under your knees for extra cushioning. If you have any discomfort in your hips or knees, you can also try widening your knees slightly or using a strap to support your body.","1. Kneel on the mat with your knees wide apart, then sit back onto your heels. 2. Stretch your arms out in front of you, lower your forehead to the ground, and breathe deeply. 3. Allow your body to relax, feeling the weight of your torso sinking into the ground. 4. As you inhale, feel the expansion in your chest and the relaxation in your body. 5. As you exhale, feel any tension or stress release and melt away."
15,Pigeon Pose,Eka Pada Rajakapotasana,forward_fold,intermediate,"Pigeon Pose (Eka Pada Rajakapotasana) provides numerous physical benefits, including hip flexor stretch, lower back opening, and improved balance and flexibility. Mentally, it helps cultivate focus, patience, and inner awareness. Regular practice can also alleviate sciatica pain and tension in the hips and glutes.","Avoid Pigeon Pose if you have knee injuries or recent surgeries, as it may put pressure on the joints. Additionally, individuals with severe hip or back problems should modify or avoid this pose entirely.","Inhale: Lengthen the spine and torso as you settle into the pose. Exhale: Fold forward, deepening the stretch in the hips and glutes.","Hold the pose for 3-5 breaths or 30-60 seconds on each side, repeating 2-3 times.","For a more accessible variation, try a 'supported pigeon' by placing a block or cushion under the forehead or torso for support. Alternatively, practice 'reclined pigeon' by lying on your back with the legs in the same position, reducing pressure on the knees and hips.","Step 1: Begin on all fours, with your hands shoulder-width apart and your knees directly under your hips. Step 2: Bring your right knee forward, placing your ankle in front of your left hip. Lower your hips down towards the ground, stretching the back leg. Step 3: Extend your arms out in front, folding your torso down towards the ground. Step 4: Breathe deeply, feeling the stretch in your hips and glutes. Step 5: Switch sides, repeating the process with the left leg forward."
16,Seated Leg Stretch,Akarna Dhanurasana,forward_fold,intermediate,"Akarna Dhanurasana, or Seated Leg Stretch, stretches the hamstrings, calves, and spine, improving flexibility and balance. It also stimulates the abdominal organs and can help alleviate symptoms of sciatica. Additionally, this pose can calm the mind and reduce stress by promoting relaxation and focus.","Avoid practicing Akarna Dhanurasana if you have severe back problems, knee injuries, or recent abdominal surgery. Pregnant women should also avoid this pose, especially in the later stages of pregnancy.","Inhale and lengthen your spine, exhale and fold forward, keeping your knees slightly bent if necessary. Continue to breathe deeply, inhaling to lengthen and exhaling to deepen the stretch.","Hold the pose for 3-5 breaths, repeating 2-3 times on each side.","For a more accessible version, place a block or strap under your forehead or use a folded blanket under your knees for support. You can also use a strap around the ball of your foot to deepen the stretch without straining your back.","1. Sit on the floor with your legs straight out in front of you, then bend your right knee and place your right foot on the inside of your left thigh. 2. Lengthen your spine, inhale, and reach forward to grab your left ankle or toe. 3. Exhale and fold forward, keeping your left knee slightly bent if necessary, stretching your left leg and spine. 4. Hold and breathe, feeling the stretch in your hamstring and calf, then slowly release and repeat on the other side."
17,Side Angle Pose,Utthita Parshvakonasana,standing,intermediate,"Utthita Parshvakonasana, or Side Angle Pose, provides numerous physical and mental benefits. Physically, it stretches the chest, shoulders, and hips, while strengthening the legs and ankles. Mentally, it cultivates a sense of balance, focus, and calmness, helping to reduce stress and anxiety.","Avoid this pose if you have any neck or shoulder injuries, or if you experience any discomfort in your knees or ankles. It's also recommended to approach with caution if you have high blood pressure or are pregnant.","Inhale as you reach your arm up and lengthen your spine, exhale as you deepen the stretch and gaze down towards the ground.","Hold for 3-5 breaths on each side, repeating for 2-3 rounds.","For a more accessible version, use a block to support your hand or place your hand on your knee instead of the ground. You can also reduce the depth of the stretch by keeping your back leg straight and your front thigh only slightly bent.","1. Start in a wide-leg stance with your right foot facing forward and your left foot at a 90-degree angle. Extend your arms out to the sides at shoulder height, with your palms facing down. 2. Reach your right arm up towards the ceiling, lengthening your spine and stretching your chest. 3. As you exhale, deepen the stretch by sliding your left hand down your leg towards the ground, keeping your spine long and your hips open. 4. Gaze down towards the ground, engaging your core and maintaining balance. 5. Repeat on the other side by switching the position of your legs and arms."
18,Warrior Pose II,Virabhadrasana II,standing,intermediate,"Warrior Pose II (Virabhadrasana II) strengthens the legs, hips, and core, while stretching the chest and shoulders. It also improves balance, focus, and concentration. This pose can also help to boost confidence and energy levels.","Avoid Warrior Pose II if you have knee or hip injuries, or if you experience any discomfort or pain in these areas. Pregnant women should also modify the pose or avoid it altogether, especially in the later stages of pregnancy.",Inhale: Lengthen the spine and expand the chest. Exhale: Bend the front knee and stretch the arms out to the sides.,"Hold the pose for 3-5 breaths on each side, and repeat for 2-3 sets.","For beginners, use a block or a strap to support the front knee or to deepen the stretch. You can also shorten the stance or use a wall for support. For a more challenging version, stretch the arms further out to the sides or lift the back heel off the ground.","Step 1: Stand with your feet wide apart, with one foot facing forward and the other foot at a 90-degree angle. Step 2: Bend the front knee over the ankle, keeping the back leg straight. Step 3: Stretch the arms out to the sides, parallel to the ground, and gaze forward over the front hand. Step 4: Engage the core and press the front thigh bone down towards the ground, stretching the chest and shoulders."
19,Seated Head to Knee Pose,Janu Sirsasana,forward_fold,intermediate,"Seated Head to Knee Pose (Janu Sirsasana) stretches the entire back side of the body, from the shoulders to the heels, and can help to lengthen the spine. It can also calm the nervous system and promote relaxation. Regular practice of this pose can improve flexibility and balance.","Avoid this pose if you have a recent or severe knee injury, or if you have a condition such as sciatica or a herniated disk. Pregnant women should also modify or avoid this pose, especially in the later stages of pregnancy.","Inhale, lengthen the spine and reach the arms up; exhale, fold forward and reach for the toes or shins. Continue to breathe deeply and smoothly, feeling the stretch in the back of the body.","Hold the pose for 3-5 breaths, or up to 30 seconds. Repeat on the other side.","Use a strap or towel to deepen the stretch if you can't reach your toes. You can also bend your knee or use a block under your forehead for support. For a more gentle version, try reaching for the shin or ankle instead of the toes.","1. Sit on the floor with your legs extended in front of you. Bend your right knee and place your right foot on the inside of your left thigh. 2. Lengthen your spine and reach your arms up, inhaling deeply. 3. Exhale and fold forward, reaching for your left toes or shins. Keep your left knee straight and your spine long, feeling the stretch in the back of your body. 4. Hold the pose, breathing smoothly, and then slowly come up to sitting. Repeat on the other side."
20,Bound Angle Pose,Baddha Konasana,seated,intermediate,"Bound Angle Pose (Baddha Konasana) strengthens the back muscles, opens the hips, and can help alleviate lower back pain. It also promotes flexibility in the knees, ankles, and thighs. Mentally, it can help quiet the mind and promote a sense of inner peace.","Avoid Baddha Konasana if you have knee injuries or severe hip problems, as it can put pressure on these joints. Pregnant women should also modify the pose to avoid overstretching the pelvic area.","Inhale deeply, lengthening the spine, and exhale slowly, drawing the knees closer to the chest. Continue breathing naturally, feeling the stretch and relaxation in the hips and lower back.","Hold the pose for 3-5 breaths, or 30 seconds to 1 minute, and repeat 2-3 times.","For a gentler stretch, use a strap or towel to support the knees, or place a block under the knees for extra support. You can also modify the pose by keeping the feet farther apart or bringing the knees closer to the chest.","1. Sit on the floor with your legs straight out in front of you. 2. Bring the soles of your feet together, with your knees bent and your legs forming a diamond shape. 3. Lengthen your spine, engage your core, and gently press your knees towards the ground, using your hands if necessary. 4. As you exhale, fold forward slightly, stretching the hips and lower back."
21,Side Crow Pose,Parsvakonasana,balancing,intermediate,"Side Crow Pose strengthens the arms, shoulders, and upper back, while also improving balance and focus. It can also help to stretch the hips and chest, promoting flexibility and opening. Additionally, it can help to calm the mind and reduce stress and anxiety.","Avoid Side Crow Pose if you have wrist or shoulder injuries, or if you are experiencing dizziness or lightheadedness. Pregnant women should also avoid this pose, especially in the later stages of pregnancy.","Inhale as you lift your legs off the ground, exhale as you balance and engage your core, and inhale again as you slowly lower your legs back down.","Hold the pose for 3-5 breaths, or as long as you feel comfortable, and repeat on the other side.","Use a block or strap to support your legs if you're struggling to lift them off the ground, or practice the pose with your knees bent and your feet on the ground for a more accessible version. You can also practice the pose with your back against a wall for added support and balance.","1. Start in a squatting position with your feet hip-width apart and your hands on the ground in front of you. 2. Place your right hand on the ground and lift your left leg off the ground, balancing on the right hand and the outside of your right foot. 3. Engage your core and lift your left leg up and over your right leg, balancing on the right hand and the outside of your right foot, with your left leg lifted and your torso twisted to the right."
22,Seated Spinal Twist II,Bharadvajasana II,twist,intermediate,"Seated Spinal Twist II (Bharadvajasana II) helps to stretch the spine, hips, and torso, improving flexibility and posture. It also stimulates digestion and can relieve symptoms of sciatica and lower back pain. Additionally, this pose can calm the mind and promote a sense of balance and clarity.","Avoid this pose if you have a severe back injury, herniated disk, or recent spinal surgery. Pregnant women should also avoid deep twists, especially in the later stages of pregnancy.","Inhale as you lengthen the spine, then exhale as you twist to the right and place your right hand on the outside of your left knee. Inhale to lengthen again, and exhale as you deepen the twist.","Hold the twist for 3-5 breaths on each side, repeating 2-3 times on each side.","Use a block or strap to support your hand on the knee if you can't reach. You can also place your hand on the ground beside your knee for a gentler twist. For a deeper twist, place your right foot on the outside of your left knee.","Step 1: Sit on the ground with your legs crossed and your right foot on the ground beside your left knee. Step 2: Lengthen your spine and place your right hand on the outside of your left knee. Step 3: Exhale and twist to the right, keeping your hips facing forward and your spine long. Step 4: Look over your left shoulder, keeping your chin parallel to the ground. Step 5: Hold the twist, breathing deeply, then repeat on the other side."
23,Four-Limbed Staff Pose,Chaturanga Dandasana,standing,intermediate,"Chaturanga Dandasana strengthens the arms, shoulders, and upper back, while also engaging the core and improving overall posture. It also helps to build confidence and focus. Regular practice of this pose can also improve balance and overall physical stability.","Avoid Chaturanga Dandasana if you have wrist injuries, shoulder injuries, or any condition that causes shoulder instability. Pregnant women should also approach this pose with caution and modify it to avoid putting pressure on the wrists.","Exhale as you lower your body down, keeping your elbows close to your body. Hold for a brief moment, then inhale as you transition into the next pose.","Hold for a brief moment, about 1-2 breaths, before transitioning into the next pose. You can also practice Chaturanga as a flowing sequence, moving through the pose 3-5 times.","If you're new to Chaturanga, try modifying it by keeping your knees on the ground or using blocks under your hands for support. You can also try doing a 'low Chaturanga' by lowering your body only halfway down instead of all the way.","1. Start in a plank position with your hands shoulder-width apart and your arms straight. Engage your core and keep your body in a straight line from head to heels. 2. As you exhale, slowly lower your body down towards the ground, keeping your elbows close to your body. 3. Keep your body in a straight line and don't let your hips sag or your chest collapse. 4. Briefly hold the pose, then inhale as you transition into the next pose."
24,Seated Forward Fold With Legs Extended,Paschimottanasana II,forward_fold,intermediate,"Paschimottanasana II stretches the entire back side of the body, from the shoulders to the heels, and can help to lengthen the spine, relieve tension in the neck and shoulders, and calm the mind. Regular practice can also improve flexibility and balance. This pose can also help to reduce stress and anxiety by promoting relaxation and calmness.","Avoid this pose if you have a severe back injury, herniated disk, or sciatica. Pregnant women should also avoid this pose or modify it significantly to avoid putting pressure on the abdomen.","Inhale: Lengthen the spine and reach the arms up. Exhale: Fold forward, reaching for the toes or shins, and keep the breath smooth and steady throughout the hold.","Hold the pose for 3-5 breaths, or 30 seconds to 1 minute, and repeat 2-3 times.","For beginners or those with tight hamstrings, use a strap or towel to deepen the stretch without straining the back. You can also bend the knees slightly or place a block under the forehead for support. For a more intense stretch, straighten the arms and reach for the toes.","1. Sit on the ground with your legs extended in front of you, feet flexed and spine long. 2. Inhale and lengthen the spine, reaching the arms up towards the ceiling. 3. Exhale and fold forward, reaching for the toes or shins, and keep the knees slightly bent if necessary. 4. Keep the breath smooth and steady, and engage the core to support the back. 5. Hold the pose and feel the stretch in the back side of the body."
25,One-Legged King Pigeon Pose,Eka Pada Rajakapotasana II,forward_fold,intermediate,"One-Legged King Pigeon Pose (Eka Pada Rajakapotasana II) stretches the hips, glutes, and spine, while also strengthening the back and core muscles. This pose can also help improve flexibility and balance. Mentally, it can promote feelings of calmness and focus.","Avoid this pose if you have any knee or hip injuries, or if you experience any discomfort or pain in your lower back. Pregnant women should also avoid this pose or modify it to avoid deep twisting.","Inhale as you lengthen your spine and prepare for the pose. Exhale as you fold forward and deepen the stretch. Continue to breathe deeply, focusing on the sensation in your hips and back.","Hold the pose for 3-5 breaths, or up to 30 seconds. Repeat on the other side.","For a more accessible version, try using a block or strap to support your forehead or knee. You can also modify the pose by keeping your back leg straight instead of bending it, or by using a wall for support.","1. Begin on your hands and knees (all fours). Bring your right knee forward and place your ankle in front of your left hip, with your right foot flexed. 2. Extend your left leg behind you, keeping it straight, and lower your torso down towards the ground, stretching your arms out in front of you. 3. As you fold forward, keep your hips level and your spine long, feeling the stretch in your hips and back. 4. Keep your neck long and your forehead relaxed, breathing deeply into the pose. 5. To release, slowly lift your torso up and return to all fours, then repeat on the other side."
26,Seated Forward Fold With Arms Extended,Paschimottanasana III,forward_fold,intermediate,"Seated Forward Fold With Arms Extended (Paschimottanasana III) stretches the entire back side of the body, from the shoulders to the heels, while also stretching the hips and spine. This pose can help relieve stress and anxiety by releasing tension in the neck, shoulders, and back. Regular practice can also improve flexibility and balance.","Avoid this pose if you have a herniated disk, sciatica, or any severe back injury. Pregnant women should also modify or avoid this pose, especially in the later stages of pregnancy.","Inhale: Lengthen the spine and reach forward with the arms. Exhale: Fold forward, keeping the arms straight, and surrender to the stretch.","Hold the pose for 3-5 breaths, feeling the stretch deepen with each exhalation.","For a more accessible version, bend the knees or use a strap to deepen the stretch without straining the back. You can also place your hands on blocks or the floor for support.","1. Sit on the floor with your legs extended in front of you. Lengthen your spine and engage your core. 2. Inhale and reach forward with your arms, keeping them straight. 3. Exhale and fold forward, keeping your arms straight and your knees slightly bent if necessary. 4. Allow your head to release and your body to surrender to the stretch, feeling the lengthening of the spine and the stretch in the back of the legs."
27,Extended Triangle Pose,Utthita Trikonasana,standing,intermediate,"Extended Triangle Pose (Utthita Trikonasana) stretches the hips, thighs, and spine, while also strengthening the core and improving balance. It can also help to relieve stress and anxiety by opening the chest and shoulders. Regular practice of this pose can improve flexibility and overall posture.","Avoid this pose if you have a severe back injury, neck strain, or recent hip replacement surgery. Pregnant women should also avoid deep twists and may need to modify the pose to accommodate their body.","Inhale as you reach the arms up, exhale as you fold to the side and lengthen the spine, inhale as you lengthen the arms and gaze upwards, and exhale as you release the pose.","Hold for 3-5 breaths on each side, repeat 2-3 times.","Use a block or strap under the hand to support the stretch, or bring the back hand to the hip or knee instead of the ground. For a deeper stretch, use a wall for support or have a partner assist you.","1. Stand with your feet wide apart, with one foot facing forward and the other foot at a 90-degree angle. 2. Reach your arms up overhead and interlace your fingers, then fold to the side, keeping your arms straight, and place your right hand on the ground beside your right foot. 3. Extend your left arm upwards and gaze towards your left hand, keeping your spine long and your hips open. 4. Engage your core and feel the stretch in your hips and thighs, then release and repeat on the other side."
