question,expected_answer,relevant_pose_ids
How do I practice Dwi Pada Viparita Dandasana?,"Start in a Handstand position against a wall, with your hands shoulder-width apart and your fingers spread wide. Engage your core and lift your legs straight up, keeping them together and your torso long.",55
What are the contraindications for practicing Urdhva Dhanurasana?,"Avoid Urdhva Dhanurasana if you have any neck or back injuries, high blood pressure, or are pregnant. It is also not recommended for people with severe osteoporosis or glaucoma.",58
How can I modify Lolasana to make it more accessible?,"For a modified version, practice Lolasana with the legs bent at a 90-degree angle or with the feet touching the ground. You can also use a block or strap to support your body.",53
How does Eka Pada Viparita Dandasana compare to Dwi Pada Viparita Dandasana?,"Both poses are inversions, but Eka Pada Viparita Dandasana lifts only one leg, while Dwi Pada Viparita Dandasana lifts both legs. Eka Pada Viparita Dandasana also has different contraindications, such as chronic back pain or severe sciatica.","55,56"
What yoga pose can help improve posture and reduce back pain?,"Eka Pada Rajakapotasana can help improve posture and reduce back pain by stretching the entire back, shoulders, and chest, and strengthening the arms, shoulders, and back muscles.",60
Can you list all the poses that are contraindicated for people with high blood pressure?,"The poses that are contraindicated for people with high blood pressure are Hala Asana, Dwi Pada Viparita Dandasana, Viparita Karani, Urdhva Dhanurasana, and Rajakapotasana.","54,55,57,58,59"
Which poses can help with stress relief?,"Supta Baddha Konasana, Savasana, and Supta Matsyendrasana II are restorative yoga poses that can help reduce stress and anxiety.","66,67,68"
What are the benefits of practicing Anjaneyasana?,"Anjaneyasana strengthens the quadriceps, calves, and glutes, while stretching the hips and quadriceps, and also improves balance and stability, promoting focus and mental clarity.",62
What are some beginner-friendly inversion poses?,Salamba Sarvangasana and Viparita Karani II are beginner-friendly inversion poses that can help calm the mind and reduce stress.,"69,70"
How do I practice Prasarita Padottanasana?,"Stand with your feet wide apart, engage your core, and lengthen your spine, then exhale and fold forward, reaching for the ground. You can use blocks or a strap to support your hands if needed.",63
What are the contraindications for practicing Laghu Vajrasana?,"Avoid Laghu Vajrasana if you have any neck or back injuries, high blood pressure, or are pregnant. People with sensitive knees or ankles should also approach this pose with caution.",61
What modifications can I use to make Supta Matsyendrasana II more accessible?,"You can use a block or a strap to support your knees or torso, or practice the pose with your knees bent and feet flat on the ground.",68
How does Ardha Chandrasana compare to Virabhadrasana III in terms of benefits?,"Both poses improve balance and focus, but Ardha Chandrasana also stretches the spine, hips, and legs, while Virabhadrasana III strengthens the ankles, calves, and spine, and improves overall posture.","65,64"
What backbend poses can help alleviate respiratory issues?,Laghu Vajrasana can help alleviate respiratory issues by strengthening the back muscles and improving flexibility in the chest and shoulders.,61
Which restorative poses can help with muscle tension and relaxation?,Savasana and Supta Baddha Konasana are restorative yoga poses that can help reduce muscle tension and promote relaxation.,"67,66"
What are some poses that can help improve balance and focus?,"Anjaneyasana, Ardha Chandrasana, and Virabhadrasana III are poses that can help improve balance and focus.","62,65,64"
What is a beginner-friendly standing pose that strengthens the legs and hips?,"Virabhadrasana, or Warrior Pose, is a beginner-friendly standing pose that strengthens the legs, hips, and core, while stretching the chest and lungs.",71
What are the benefits of practicing Supta Padangusthasana?,"Supta Padangusthasana stretches the hamstrings, calves, and spine, improving flexibility and range of motion, while also calming the nervous system and reducing stress and anxiety.",74
What are some standing poses for beginners that improve balance and focus?,"Some standing poses for beginners that improve balance and focus include Virabhadrasana, Tadasana II, and Utkatasana.","71,72,73"
How do I practice Prishthasana safely?,"To practice Prishthasana safely, avoid the pose if you have any neck or back injuries, and use a block or strap to support your chest and shoulders if you're new to the pose or experience discomfort.",75
What is the difference between Virabhadrasana and Virabhadrasana II?,"Both Virabhadrasana and Virabhadrasana II are standing poses that strengthen the legs, hips, and core, but Virabhadrasana II is a variation that specifically stretches the chest and shoulders.","71,77"
What pose can help with stress and anxiety by releasing tension in the body?,Bharadvajasana II can help reduce stress and anxiety by releasing tension in the body.,81
What are the benefits of practicing Ustrasana?,"Ustrasana strengthens the back muscles, improves spinal flexibility, opens the chest and shoulders, and can increase confidence and reduce anxiety.",82
What beginner-friendly balancing pose can help with focus and concentration?,"Vrksasana II is a beginner-friendly balancing pose that cultivates focus and concentration, promoting calmness and clarity of mind.",83
How do I modify Adho Mukha Svanasana II if I have tight calves and hamstrings?,"To modify Adho Mukha Svanasana II, you can bend your knees slightly to reduce the stretch in your calves and hamstrings, or use a block or a strap to support your hands.",87
What pose should I avoid if I have a neck injury?,"You should avoid Ustrasana, Bhujangasana II, and Adho Mukha Svanasana II if you have a neck injury.","82,89,87"
What beginner-friendly twist can help improve flexibility and range of motion?,Bharadvajasana II and Supta Matsyendrasana III are beginner-friendly twists that can help improve flexibility and range of motion.,"81,90"
What pose is similar to Downward-Facing Dog II but targets the upper body?,"Bhujangasana II is a pose that targets the upper body, strengthening the muscles of the back, shoulders, and arms, while also opening the chest.",89
"Which beginner pose is great for improving balance and focus while stretching the hip flexors, quadriceps, and chest?","Anjaneyasana III is a great beginner pose for improving balance and focus while stretching the hip flexors, quadriceps, and chest.",91
What are the benefits of practicing Urdhva Dhanurasana II regularly?,"Regular practice of Urdhva Dhanurasana II can help build confidence, reduce stress and anxiety, improve balance, and overall physical alignment.",94
Which advanced inversion pose can help relieve stress and anxiety by reversing the flow of blood to the brain?,Viparita Dandasana can help relieve stress and anxiety by reversing the flow of blood to the brain.,97
"How do you get into Tittibhasana, and are there any modifications that can make it more accessible?","To get into Tittibhasana, begin in a tabletop position on your hands and knees, engage your core and lift your right leg off the ground, keeping it straight. You can use a block or support under your hands for added stability, or practice the pose with your knees slightly bent or with one leg lifted instead of both.",95
"Which balancing pose is contraindicated for people with shoulder or wrist injuries, or those who experience dizziness or lightheadedness?","Karandavasana is contraindicated for people with shoulder or wrist injuries, or those who experience dizziness or lightheadedness.",100
"What are some poses that can help improve flexibility in the hips and thighs, and what are their difficulties?","Astavakrasana III, Urdhva Dhanurasana II, and Kapotasana are advanced poses that can help improve flexibility in the hips and thighs.","96,94,98"
How does Vrschikasana compare to Kapotasana in terms of benefits?,"Both Vrschikasana and Kapotasana can help build confidence, but Vrschikasana focuses more on strengthening the arms, shoulders, and core, while Kapotasana is more focused on stimulating the thyroid gland and alleviating symptoms of depression and anxiety.","99,98"
Which standing pose is great for relieving tension in the lower back and promoting relaxation and calmness?,Baddha Padottanasana is a great standing pose for relieving tension in the lower back and promoting relaxation and calmness.,92
What are some modifications for Bharadvajasana III that can make it more accessible for beginners or those with limited flexibility?,"For Bharadvajasana III, you can use a block or strap to support your hand or foot, or practice the pose with a gentler twist.",93
"Which poses are categorized as twists, and what are their difficulties?","Bharadvajasana III is a beginner twist pose, while Astavakrasana III is an advanced twist pose.","93,96"
What are the benefits of Eka Pada Viparita Dandasana III?,"Eka Pada Viparita Dandasana III stretches and strengthens the entire back, shoulders, and chest, while also improving spinal flexibility and balance.",101
"I want to improve my balance and focus, what advanced balancing poses can I try?","You can try Titibhasana III, Bakasana III, or Eka Pada Bakasana II, all of which are advanced balancing poses that improve balance and focus.","102,103,106"
How do I do Dolphin Pose?,"Start on hands and knees, then lower onto forearms with elbows shoulder-width apart. Tuck toes and lift hips up and back, straightening legs as much as comfortable.",107
What contraindications should I be aware of when practicing Astavakrasana IV?,"Avoid Astavakrasana IV if you have wrist or shoulder injuries, experience dizziness or lightheadedness, or are pregnant.",105
"I have high blood pressure, what modifications can I make to practice Viparita Dandasana II safely?","Use a block or strap for support under the shoulders or hands, or practice with a wall for added stability.",104
Which poses are suitable for beginners?,"Poses like Seated Twist, Seated Hero Pose, Seated Forward Bend, Seated Head to Knee, Seated Forward Fold with Arms Up, and Legs Up the Wall Pose are suitable for beginners.","111,112,113,114,115,119"
What are the benefits of practicing Seated Forward Bend?,"Seated Forward Bend stretches the entire back side of the body, from the shoulders to the heels, and can help relieve stress and anxiety. Regular practice can also lengthen the hamstrings and spine.",113
"Which balancing pose strengthens the ankles, calves, and thighs?","Eagle Pose on One Leg strengthens the ankles, calves, and thighs, while also improving balance and focus.",116
How do I modify Seated Hero Pose if I have knee issues?,"For beginners or those with knee issues, you can modify Seated Hero Pose by placing a block or a folded blanket under the buttocks for support.",112
What are the contraindications for practicing Shoulder Stand?,"Avoid Shoulder Stand if you have neck injuries, high blood pressure, or are menstruating. Pregnant women should also modify or avoid this pose, especially in the later stages of pregnancy.",120
