id,pose_name,sanskrit_name,category,difficulty_level,benefits,contraindications,breathing_pattern,duration_or_reps,modifications,instructions
11,Seated Forward Bend,Paschimottanasana II,seated,beginner,"Seated Forward Bend (Paschimottanasana II) stretches the entire back side of the body, from the shoulders to the heels, and can help relieve stress and anxiety. Regular practice can also lengthen the hamstrings and spine. Additionally, this pose can help calm the mind and promote relaxation.","Avoid this pose if you have a severe back injury or spinal disc problems, as it can put pressure on the spine. Also, if you have any knee injuries or chronic knee pain, be cautious and modify the pose accordingly.","Inhale, lengthen the spine; exhale, fold forward.","Hold the pose for 3-5 breaths, or 15-30 seconds.","For beginners or those with tight hamstrings, use a strap or towel to deepen the stretch without straining the back. You can also bend your knees slightly to reduce the stretch in the back of the legs. For added support, sit on a block or blanket.","1. Sit on the ground with your legs extended in front of you and engage your core to support your lower back. 2. Inhale, lengthen the spine, and reach your arms up towards the ceiling. 3. Exhale, fold forward, and reach for your toes or shins, keeping your knees slightly bent if necessary. 4. Keep your shoulders relaxed and your chest open, feeling the stretch in the back of your body."
12,Seated Leg Stretch,Akarna Dhanurasana,seated,beginner,"Seated Leg Stretch (Akarna Dhanurasana) provides physical benefits such as lengthening the hamstrings, calves, and spine, while also improving flexibility in the hips and knees. Mentally, it can help calm the mind and promote relaxation. Regular practice can also improve balance and concentration.","Avoid this pose if you have any injuries to the knees, hips, or lower back. Pregnant women should also approach this pose with caution and consider modifying or avoiding it altogether.","Inhale and lengthen the spine, then exhale and fold forward, reaching for the toes or shins. Continue to breathe deeply and smoothly, feeling the stretch in the legs and hips.","Hold the pose for 30 seconds to 1 minute, breathing deeply and smoothly. Repeat 2-3 times, resting in a seated position between repetitions.","For a more accessible version, use a strap or towel to deepen the stretch without overreaching. You can also bend one knee and stretch one leg at a time, or sit with your back against a wall for support.","1. Sit on the floor with your legs extended in front of you, feet flexed and spine long. 2. Inhale and lengthen your spine, then exhale and fold forward, reaching for your toes or shins. 3. Keep your knees slightly bent if necessary, and engage your core to support your lower back. 4. Hold the pose, breathing deeply and feeling the stretch in your legs and hips."
13,Seated Head to Knee,Janu Sirsasana,seated,beginner,"Seated Head to Knee (Janu Sirsasana) stretches the spine, hips, and legs, improving flexibility and range of motion. It also helps to calm the mind, reduce stress, and promote relaxation. Regular practice can also help to improve posture and balance.","Avoid this pose if you have any injuries or strain in the neck, back, or knees. Pregnant women should also modify or avoid this pose, especially in the later stages of pregnancy.","Inhale: Lengthen the spine and reach forward. Exhale: Deeply bend forward, reaching for the knee or toe.","Hold the pose for 3-5 breaths on each side, or for up to 30 seconds.","Use a strap or towel to deepen the stretch if you're not able to reach your knee or toe. You can also bend your knee slightly if it's uncomfortable to straighten it. For a more gentle stretch, sit on a block or a folded blanket.","1. Sit on the floor with your legs extended in front of you. Bend your right knee and bring your right foot towards your left inner thigh. 2. Lengthen your spine and reach forward, keeping your left leg straight. 3. Exhale and deepen the stretch, reaching for your left knee or toe. Keep your shoulders relaxed and your chest open. 4. Hold the pose and breathe deeply, feeling the stretch in your spine, hips, and legs. 5. Inhale and slowly come out of the pose, then repeat on the other side."
14,Seated Forward Fold with Arms Up,Urdhva Hastasana,seated,beginner,"Seated Forward Fold with Arms Up (Urdhva Hastasana) stretches the entire back side of the body, from the shoulders to the heels, promoting flexibility and relaxation. It also helps to improve posture and reduce stress by releasing tension in the neck and shoulders. Additionally, this pose can help to calm the mind and promote a sense of grounding and introspection.","Avoid this pose if you have any neck or shoulder injuries, or if you experience any discomfort or pain in these areas. Pregnant women should also modify the pose to avoid deep forward bends.","Inhale deeply as you lengthen your spine and arms, feeling the expansion in your chest and shoulders. Exhale slowly as you fold forward, allowing your body to release and relax.","Hold this pose for 3-5 breaths, or for 30 seconds to 1 minute, depending on your comfort level and flexibility.","If you find it difficult to reach forward, use a strap or towel to deepen the stretch. You can also modify the pose by keeping your knees slightly bent or using a block to support your hands under your shoulders.","1. Sit on the floor with your legs extended in front of you, feet hip-width apart. 2. Inhale and lengthen your spine, reaching your arms up towards the ceiling and stretching your fingertips. 3. Exhale and slowly fold forward, reaching for your toes or shins, keeping your arms extended and your palms facing downwards. 4. Keep your knees slightly bent if necessary, and engage your core to support your back. 5. Hold the pose, breathing deeply and feeling the stretch in your entire back side of the body."
15,Crow Pose,Bakasana,balancing,intermediate,"Crow Pose strengthens the arms, shoulders, and core, while also improving balance and focus. It can also help to build confidence and self-awareness. Regular practice of Bakasana can also improve overall physical stability and mental clarity.","Avoid practicing Crow Pose if you have any wrist or shoulder injuries, or if you experience high blood pressure or dizziness. Pregnant women should also modify or avoid the pose, especially during the later stages of pregnancy.","Inhale: Lengthen the spine and engage the core as you prepare to lift off the ground. Exhale: Slowly lift the legs off the ground, keeping the knees bent and the weight in the hands.","Hold the pose for 3-5 breaths, or as long as you feel comfortable and balanced. Repeat for 2-3 sets, resting in a seated or standing position between sets.","For a modified version, try lifting only one leg off the ground at a time, or use a block or strap under the hands for support. You can also practice the pose with the knees bent and the weight in the hands, but without lifting the legs off the ground.","1. Start in a squatting position with the feet hip-width apart and the hands shoulder-width apart, with the fingers spread wide. 2. Bend the elbows slightly and lean forward, keeping the weight in the hands and the back straight. 3. Engage the core muscle and lift the legs off the ground, keeping the knees bent and the weight in the hands. 4. Balance in the pose, keeping the body steady and the breath even."
16,Eagle Pose on One Leg,Eka Pada Garudasana,balancing,intermediate,"Eagle Pose on One Leg (Eka Pada Garudasana) strengthens the ankles, calves, and thighs, while also improving balance and focus. It also stretches the hips and glutes, and can help alleviate sciatica pain. Mentally, it cultivates concentration and calmness.","Avoid this pose if you have a serious ankle or knee injury, or if you experience vertigo or dizziness. Pregnant women should also avoid this pose or modify it to avoid deep twisting.","Inhale and lengthen the spine, exhale and wrap the legs around the standing leg, inhale and lift the arms, exhale and fold forward slightly.","Hold for 3-5 breaths, then switch sides. Repeat for 3-5 rounds.","Use a block or a strap to support the ankle or knee if needed. Alternatively, practice Garudasana (Eagle Pose) with both feet on the ground or use a wall for support to build balance and strength.","1. Stand on one leg, with the other foot resting against the inner thigh. Engage the core and lift the arms overhead. 2. Cross the right knee over the left (or vice versa), and wrap the legs around the standing leg, keeping the spine long. 3. Stretch the arms out to the sides, then wrap them around each other, with the palms facing forward. 4. Fold forward slightly, keeping the spine long, and gaze forward or slightly down. 5. Engage the legs, lift the chest, and balance."
17,One-Legged Tree Pose,Eka Pada Vrksasana,balancing,intermediate,"One-Legged Tree Pose (Eka Pada Vrksasana) helps improve balance and stability by strengthening the ankles and legs. It also stretches the hips, spine, and chest, promoting flexibility and good posture. Mentally, this pose cultivates focus, concentration, and calmness.","Avoid this pose if you have any ankle or knee injuries, or if you experience dizziness or lightheadedness. Pregnant women should also avoid this pose or modify it with a block or wall support.","Inhale: Lengthen the spine and engage the core as you lift the leg. Exhale: Gently place the lifted foot on the inner thigh and balance. Continue to breathe naturally, focusing on the sensation in the body.","Hold the pose for 3-5 breaths on each leg, then switch sides. Repeat for 2-3 sets.","For a more accessible version, use a block or wall for support. You can also place the lifted foot on the calf instead of the inner thigh. For a deeper stretch, lift the arms overhead or place them in a prayer-like position.","1. Start in Mountain Pose (Tadasana) with your feet hip-width apart. 2. Shift your weight onto one leg (the standing leg) and lift the other leg off the ground, placing the sole of the foot on the inner thigh. 3. Engage your core, lengthen your spine, and balance on the standing leg. 4. Gaze forward, keeping your eyes soft and focused."
18,Warrior II on One Leg,Eka Pada Virabhadrasana II,balancing,intermediate,"Eka Pada Virabhadrasana II strengthens the ankles and legs, while also improving balance and focus. It can also help stretch the hips and chest, promoting flexibility and opening. Additionally, this pose can help reduce stress and anxiety by challenging the body and mind.","Avoid this pose if you have knee or ankle injuries, or if you experience dizziness or lightheadedness while balancing. Pregnant women should also avoid this pose, especially in the later stages of pregnancy.","Inhale as you lift your leg and arms, exhale as you settle into the pose, and continue to breathe deeply and smoothly while balancing.","Hold for 3-5 breaths, then switch sides. Repeat 2-3 times on each leg.","Use a block or strap under your front hand for support, or use a wall for balance assistance. You can also modify the pose by keeping both feet on the ground or by using a chair for support.","1. Begin by standing with your feet wide apart, with one foot facing forward and the other foot at a 90-degree angle. 2. Bend your front knee and stretch your arms out to the sides, keeping them parallel to the ground. 3. Lift your back leg off the ground and balance on one leg, keeping your spine long and your core engaged. 4. Gaze forward and hold the pose, engaging your balance and focus. 5. Slowly lower your back leg to the ground and repeat on the other side."
19,Lord of the Dance Pose,Natarajasana,balancing,intermediate,"Natarajasana strengthens the ankles, calves, and spine, while improving balance and focus. It also opens the chest and shoulders, promoting good posture and confidence. Regular practice of this pose can help reduce anxiety and stress.","Avoid this pose if you have any ankle or knee injuries, or if you experience dizziness or vertigo. It's also not recommended for pregnant women or individuals with severe balance issues.","Inhale and lengthen the spine, feeling the chest expand and the arms lift. Exhale and engage the core, maintaining balance and control.","Hold for 3-5 breaths on each leg, repeat 2-3 times on each side.","For a modified version, use a block or strap for support under the lifted foot, or practice with the back against a wall for added stability. You can also lift the back leg just a few inches off the ground instead of fully extending it.","1. Start in Mountain Pose (Tadasana), then bend the right knee and bring the right foot towards the buttocks, catching the ankle with your hand. 2. Slowly lift the right foot off the ground, balancing on the left leg and keeping the spine long. 3. Extend the right arm forward and up, gazing ahead and maintaining balance and control. 4. Engage the core and feel the weight evenly distributed on the standing leg."
20,Peacock Pose,Mayurasana,balancing,advanced,"Peacock Pose strengthens the arms, shoulders, and core muscles, improving overall balance and stability. It also stimulates the digestive system and can help alleviate stress and anxiety. Additionally, this pose can improve focus and concentration by requiring engagement of the entire body.","Avoid practicing Peacock Pose if you have any wrist, elbow, or shoulder injuries, or if you are experiencing high blood pressure or dizziness. Pregnant women should also avoid this pose, especially in the later stages of pregnancy.","Inhale as you prepare to lift the legs, and exhale as you balance and engage the core. Continue to breathe naturally and smoothly, avoiding holding the breath.","Hold the pose for 3-5 breaths, or as long as you feel comfortable and balanced. Repeat 2-3 times, resting between repetitions.","For beginners, start by practicing the pose with the knees slightly bent or by using a wall for support. You can also place a block or strap under the hands for added stability and comfort. Another option is to practice a modified version of the pose, known as 'Baby Peacock,' where the legs are lifted but not fully extended.","1. Start in a high plank position with the hands shoulder-width apart and the feet hip-width apart. Engage the core and straighten the arms, feeling a sense of grounding and stability. 2. Slowly lift the legs off the ground, keeping them straight and engaged. Balance on the hands and lift the torso, keeping the chest open and the shoulders down. 3. As you find balance, extend the legs fully and engage the core, feeling a sense of strength and control. 4. Maintain the pose, focusing on the breath and the sensation in the body, before slowly lowering the legs back down to the starting position."
21,Firefly Pose,Tittibhasana,balancing,advanced,"Firefly Pose (Tittibhasana) strengthens the arms, shoulders, and core while improving balance and focus. It also stretches the chest and shoulders, promoting good posture and reducing tension. Additionally, this pose can help build confidence and mental clarity.","Avoid Firefly Pose if you have any shoulder, wrist, or elbow injuries, or if you experience dizziness or vertigo. Pregnant women should also modify or avoid this pose due to the deep forward bend.","Inhale as you prepare to lift your legs, exhale as you lift your legs off the ground, and hold your breath or breathe naturally while balancing in the pose.","Hold Firefly Pose for 3-5 breaths, rest, and repeat 2-3 times on each leg.","For a modified version, use blocks or straps to support your legs or arms. You can also practice lifting one leg at a time or use a wall for support. For beginners, try practicing Crow Pose (Bakasana) before moving to Firefly Pose.","1. Start in a squatting position with your feet hip-width apart and your hands shoulder-width apart. 2. Place your hands under your shoulders and lift your legs off the ground, balancing on your hands. 3. Bend your elbows slightly and lift your chest, keeping your shoulders down and away from your ears. 4. Engage your core and balance on your hands, lifting your legs up and back, keeping them straight or slightly bent."
22,Legs Up the Wall Pose,Viparita Karani,inversion,beginner,"Legs Up the Wall Pose (Viparita Karani) provides physical benefits by relieving swelling in the legs and feet, improving circulation, and stretching the lower back. Mentally, it calms the mind, promotes relaxation, and can help reduce stress and anxiety. Regular practice can also help improve sleep quality.","Avoid Legs Up the Wall Pose if you have any neck or shoulder injuries, or if you experience discomfort or numbness in your legs or feet while in the pose. Pregnant women should also consult with their healthcare provider before practicing this pose, especially in the later stages of pregnancy.","Inhale deeply, filling the lungs completely, and exhale slowly, allowing the body to relax further into the pose. Continue this slow, deep breathing pattern throughout the duration of the pose.","Hold Legs Up the Wall Pose for 5-15 minutes, or as long as feels comfortable and relaxing. You can also practice this pose in shorter intervals, such as 2-3 minutes, with regular breaks.","Use a block or pillow under the lower back for support, or place a folded blanket under the neck for added comfort. You can also practice this pose with your legs at an angle, rather than straight up against the wall, if that feels more comfortable.","1. Find a quiet and comfortable space near a wall where you can stretch out your body. 2. Lie on your back with your legs straight up against the wall, with your hips and knees at a 90-degree angle. 3. Allow your body to relax and your breath to slow down, feeling the gentle stretch in your lower back and the calming sensation in your mind. 4. As you settle into the pose, bring your attention to your breath, feeling the sensation of the air moving in and out of your body. 5. Remain in the pose, breathing deeply and relaxing, for the desired duration."
23,Shoulder Stand,Viparita Karani II,inversion,beginner,"Viparita Karani II, or Shoulder Stand, offers numerous physical and mental benefits, including improved circulation, reduced swelling in the legs, and a sense of calmness. It also stretches the neck and shoulders, relieving tension and stress. Regular practice can also help to balance the thyroid gland and promote relaxation.","Avoid Shoulder Stand if you have neck injuries, high blood pressure, or are menstruating. Pregnant women should also modify or avoid this pose, especially in the later stages of pregnancy.","Inhale deeply and slowly, feeling the chest expand. Exhale slowly, maintaining a smooth and steady flow of breath. Continue to breathe naturally, focusing on the sensation of the pose.","Hold Shoulder Stand for 30 seconds to 1 minute, breathing naturally. Repeat for 2-3 sets, resting for 30 seconds to 1 minute between sets.","To modify Shoulder Stand, place a folded blanket or towel under your shoulders for support. You can also use a wall for support, with your feet 6-8 inches away from the wall. For a more gentle variation, try Legs Up The Wall Pose (Viparita Karani I).","1. Find a quiet and comfortable space to practice, with a non-slip mat or blanket. Lie on your back with your arms by your sides and legs straight. 2. Slowly lift your legs, hips, and torso off the ground, using your shoulders and arms for support. Keep your shoulders down and away from your ears. 3. Engage your core and maintain a straight line from head to heels. Hold the pose, breathing naturally, and focus on the sensation in your body. 4. To release, slowly lower your legs and torso back down to the ground, exhaling as you do so."
24,Headstand,Sirsasana,inversion,intermediate,"Headstand (Sirsasana) offers numerous physical and mental benefits, including strengthening the arms, shoulders, and core, improving balance and focus, and relieving stress and anxiety. It also stimulates the lymphatic system, which helps to remove toxins and promote overall well-being. Additionally, Headstand can calm the nervous system and promote a sense of calm and clarity.","Avoid Headstand if you have neck or shoulder injuries, high blood pressure, or are menstruating, as it can put pressure on the neck and exacerbate these conditions. Pregnant women should also avoid this pose, especially in the later stages of pregnancy.","Inhale deeply as you kick up into the pose, and then exhale slowly as you settle into the Headstand. Continue to breathe naturally and smoothly, feeling the chest expand and contract with each inhale and exhale.","Hold Headstand for 3-5 breaths, or up to 30 seconds for more advanced practitioners. Repeat 2-3 times, resting for 30 seconds to 1 minute between repetitions.","Use a wall for support if you're new to Headstand or struggling to balance. Place your hands about 6-8 inches away from the wall and kick up into the pose, keeping your heels against the wall for support. You can also use blocks or a strap to support your neck and shoulders.","Step 1: Start on your hands and knees, with your fingers spread wide and your weight evenly distributed between your hands and knees. Step 2: Walk your feet forward slightly and lift your hips up and back, straightening your arms and legs as much as possible. Step 3: Kick one leg up towards the ceiling, followed by the other, and balance on your hands and the crown of your head. Step 4: Engage your core and shoulders, and reach your chest forward and up, keeping your body in a straight line from head to heels. Step 5: Hold the pose for the desired amount of time, breathing naturally and smoothly, and then slowly lower back down to the starting position."
25,Handstand,Adho Mukha Vrksasana,inversion,intermediate,"Handstand (Adho Mukha Vrksasana) offers numerous physical benefits, including strengthening the arms, shoulders, and upper back, while also improving balance, flexibility, and overall core strength. Mentally, it cultivates focus, concentration, and confidence. Regular practice can also lead to improved circulation and reduced stress levels.","Avoid Handstand if you have severe neck or shoulder injuries, glaucoma, or high blood pressure. Pregnant women should also avoid this pose, especially in the later stages of pregnancy.","Inhale as you lift your legs up and transition into the handstand. Hold your breath for a brief moment at the top, then exhale as you slowly lower back down to the starting position.","Hold Handstand for 3-5 breaths or as long as you feel comfortable, up to 30 seconds. Repeat for 2-3 sets.",Beginners can start with a modified version by kicking up against a wall for support. Another option is to practice Lizard Pose (Utthan Pristhasana) or Downward-Facing Dog (Adho Mukha Svanasana) as a preparation for Handstand. Use blocks or a support under your hands if you need extra lift or stability.,"1. Start in a high plank position with your hands shoulder-width apart and your fingers spread wide. Engage your core and keep your body in a straight line from head to heels. 2. Walk your feet forward a few inches, then bend your elbows slightly and lift your heels off the ground, kicking one leg up towards the ceiling. 3. As you lift your second leg up, straighten your arms and lift your chest, keeping your body in a straight line. Engage your core and hold the handstand position, focusing on your breath and maintaining balance."
